"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2002";"Avereest";""
"2003";"Avereest";""
"2004";"Avereest";""
"2005";"Avereest";""
"2006";"Avereest";""
"2007";"Avereest";""
"2008";"Avereest";""
"2009";"Avereest";""
"2010";"Avereest";""
"2011";"Avereest";""
"2012";"Avereest";""
"2013";"Avereest";""
"2014";"Avereest";""
"2015";"Avereest";""
"2016";"Avereest";""
"2017";"Avereest";""
"2018";"Avereest";""
"2019";"Avereest";""
"2020";"Avereest";""
"2021";"Avereest";""
"2022";"Avereest";""
"2023";"Avereest";""
"2024";"Avereest";""
"2025";"Avereest";""
"1995";"Axel";"     169"
"1996";"Axel";"     170"
"1997";"Axel";"     171"
"1998";"Axel";"     170"
"1999";"Axel";"     168"
"2000";"Axel";"     170"
"2001";"Axel";"     172"
"2002";"Axel";"     173"
"2003";"Axel";""
"2004";"Axel";""
"2005";"Axel";""
"2006";"Axel";""
"2007";"Axel";""
"2008";"Axel";""
"2009";"Axel";""
"2010";"Axel";""
"2011";"Axel";""
"2012";"Axel";""
"2013";"Axel";""
"2014";"Axel";""
"2015";"Axel";""
"2016";"Axel";""
"2017";"Axel";""
"2018";"Axel";""
"2019";"Axel";""
"2020";"Axel";""
"2021";"Axel";""
"2022";"Axel";""
"2023";"Axel";""
"2024";"Axel";""
"2025";"Axel";""
"1995";"Baarle-Nassau";"      79"
"1996";"Baarle-Nassau";"      79"
"1997";"Baarle-Nassau";"      79"
"1998";"Baarle-Nassau";"      80"
"1999";"Baarle-Nassau";"      80"
"2000";"Baarle-Nassau";"      81"
"2001";"Baarle-Nassau";"      83"
"2002";"Baarle-Nassau";"      85"
"2003";"Baarle-Nassau";"      85"
"2004";"Baarle-Nassau";"      86"
"2005";"Baarle-Nassau";"      86"
"2006";"Baarle-Nassau";"      87"
"2007";"Baarle-Nassau";"      88"
"2008";"Baarle-Nassau";"      87"
"2009";"Baarle-Nassau";"      88"
"2010";"Baarle-Nassau";"      88"
"2011";"Baarle-Nassau";"      88"
"2012";"Baarle-Nassau";"      88"
"2013";"Baarle-Nassau";"      88"
"2014";"Baarle-Nassau";"      87"
"2015";"Baarle-Nassau";"      87"
"2016";"Baarle-Nassau";"      87"
"2017";"Baarle-Nassau";"      87"
"2018";"Baarle-Nassau";"      89"
"2019";"Baarle-Nassau";"      90"
"2020";"Baarle-Nassau";"      90"
"2021";"Baarle-Nassau";"      91"
"2022";"Baarle-Nassau";"      91"
"2023";"Baarle-Nassau";"      93"
"2024";"Baarle-Nassau";"      93"
"2025";"Baarle-Nassau";""
"1995";"Baarn";"     752"
"1996";"Baarn";"     752"
"1997";"Baarn";"     747"
"1998";"Baarn";"     743"
"1999";"Baarn";"     748"
"2000";"Baarn";"     751"
"2001";"Baarn";"     751"
"2002";"Baarn";"     750"
"2003";"Baarn";"     750"
"2004";"Baarn";"     753"
"2005";"Baarn";"     750"
"2006";"Baarn";"     753"
"2007";"Baarn";"     749"
"2008";"Baarn";"     750"
"2009";"Baarn";"     747"
"2010";"Baarn";"     747"
"2011";"Baarn";"     749"
"2012";"Baarn";"     749"
"2013";"Baarn";"     747"
"2014";"Baarn";"     748"
"2015";"Baarn";"     751"
"2016";"Baarn";"     754"
"2017";"Baarn";"     754"
"2018";"Baarn";"     757"
"2019";"Baarn";"     761"
"2020";"Baarn";"     764"
"2021";"Baarn";"     762"
"2022";"Baarn";"     764"
"2023";"Baarn";"     769"
"2024";"Baarn";"     770"
"2025";"Baarn";""
"1995";"Bakel en Milheeze";"     122"
"1996";"Bakel en Milheeze";"     123"
"1997";"Bakel en Milheeze";""
"1998";"Bakel en Milheeze";""
"1999";"Bakel en Milheeze";""
"2000";"Bakel en Milheeze";""
"2001";"Bakel en Milheeze";""
"2002";"Bakel en Milheeze";""
"2003";"Bakel en Milheeze";""
"2004";"Bakel en Milheeze";""
"2005";"Bakel en Milheeze";""
"2006";"Bakel en Milheeze";""
"2007";"Bakel en Milheeze";""
"2008";"Bakel en Milheeze";""
"2009";"Bakel en Milheeze";""
"2010";"Bakel en Milheeze";""
"2011";"Bakel en Milheeze";""
"2012";"Bakel en Milheeze";""
"2013";"Bakel en Milheeze";""
"2014";"Bakel en Milheeze";""
"2015";"Bakel en Milheeze";""
"2016";"Bakel en Milheeze";""
"2017";"Bakel en Milheeze";""
"2018";"Bakel en Milheeze";""
"2019";"Bakel en Milheeze";""
"2020";"Bakel en Milheeze";""
"2021";"Bakel en Milheeze";""
"2022";"Bakel en Milheeze";""
"2023";"Bakel en Milheeze";""
"2024";"Bakel en Milheeze";""
"2025";"Bakel en Milheeze";""
"1995";"Barendrecht";"    1067"
"1996";"Barendrecht";"    1116"
"1997";"Barendrecht";"    1160"
"1998";"Barendrecht";"    1204"
"1999";"Barendrecht";"    1280"
"2000";"Barendrecht";"    1397"
"2001";"Barendrecht";"    1500"
"2002";"Barendrecht";"    1642"
"2003";"Barendrecht";"    1770"
"2004";"Barendrecht";"    1838"
"2005";"Barendrecht";"    1938"
"2006";"Barendrecht";"    2054"
"2007";"Barendrecht";"    2143"
"2008";"Barendrecht";"    2239"
"2009";"Barendrecht";"    2316"
"2010";"Barendrecht";"    2346"
"2011";"Barendrecht";"    2361"
"2012";"Barendrecht";"    2373"
"2013";"Barendrecht";"    2379"
"2014";"Barendrecht";"    2380"
"2015";"Barendrecht";"    2387"
"2016";"Barendrecht";"    2412"
"2017";"Barendrecht";"    2436"
"2018";"Barendrecht";"    2455"
"2019";"Barendrecht";"    2465"
"2020";"Barendrecht";"    2467"
"2021";"Barendrecht";"    2463"
"2022";"Barendrecht";"    2488"
"2023";"Barendrecht";"    2493"
"2024";"Barendrecht";"    2487"
"2025";"Barendrecht";""
"1995";"Barneveld";"     257"
"1996";"Barneveld";"     261"
"1997";"Barneveld";"     263"
"1998";"Barneveld";"     266"
"1999";"Barneveld";"     269"
"2000";"Barneveld";"     271"
"2001";"Barneveld";"     274"
"2002";"Barneveld";"     278"
"2003";"Barneveld";"     281"
"2004";"Barneveld";"     284"
"2005";"Barneveld";"     284"
"2006";"Barneveld";"     287"
"2007";"Barneveld";"     289"
"2008";"Barneveld";"     293"
"2009";"Barneveld";"     296"
"2010";"Barneveld";"     298"
"2011";"Barneveld";"     301"
"2012";"Barneveld";"     304"
"2013";"Barneveld";"     305"
"2014";"Barneveld";"     308"
"2015";"Barneveld";"     311"
"2016";"Barneveld";"     315"
"2017";"Barneveld";"     320"
"2018";"Barneveld";"     326"
"2019";"Barneveld";"     330"
"2020";"Barneveld";"     336"
"2021";"Barneveld";"     341"
"2022";"Barneveld";"     345"
"2023";"Barneveld";"     351"
"2024";"Barneveld";"     356"
"2025";"Barneveld";""
"1995";"Bathmen";"     189"
"1996";"Bathmen";"     190"
"1997";"Bathmen";"     191"
"1998";"Bathmen";"     190"
"1999";"Bathmen";"     197"
"2000";"Bathmen";"     198"
"2001";"Bathmen";"     199"
"2002";"Bathmen";"     200"
"2003";"Bathmen";"     201"
"2004";"Bathmen";"     203"
"2005";"Bathmen";""
"2006";"Bathmen";""
"2007";"Bathmen";""
"2008";"Bathmen";""
"2009";"Bathmen";""
"2010";"Bathmen";""
"2011";"Bathmen";""
"2012";"Bathmen";""
"2013";"Bathmen";""
"2014";"Bathmen";""
"2015";"Bathmen";""
"2016";"Bathmen";""
"2017";"Bathmen";""
"2018";"Bathmen";""
"2019";"Bathmen";""
"2020";"Bathmen";""
"2021";"Bathmen";""
"2022";"Bathmen";""
"2023";"Bathmen";""
"2024";"Bathmen";""
"2025";"Bathmen";""
"1995";"Bedum";"     237"
"1996";"Bedum";"     237"
"1997";"Bedum";"     235"
"1998";"Bedum";"     239"
"1999";"Bedum";"     239"
"2000";"Bedum";"     244"
"2001";"Bedum";"     244"
"2002";"Bedum";"     245"
"2003";"Bedum";"     244"
"2004";"Bedum";"     243"
"2005";"Bedum";"     241"
"2006";"Bedum";"     239"
"2007";"Bedum";"     238"
"2008";"Bedum";"     237"
"2009";"Bedum";"     235"
"2010";"Bedum";"     234"
"2011";"Bedum";"     235"
"2012";"Bedum";"     236"
"2013";"Bedum";"     237"
"2014";"Bedum";"     236"
"2015";"Bedum";"     234"
"2016";"Bedum";"     234"
"2017";"Bedum";"     235"
"2018";"Bedum";"     235"
"2019";"Bedum";""
"2020";"Bedum";""
"2021";"Bedum";""
"2022";"Bedum";""
"2023";"Bedum";""
"2024";"Bedum";""
"2025";"Bedum";""
"1995";"Beek (L.)";"     818"
"1996";"Beek (L.)";"     821"
"1997";"Beek (L.)";"     824"
"1998";"Beek (L.)";"     823"
"1999";"Beek (L.)";"     817"
"2000";"Beek (L.)";"     817"
"2001";"Beek (L.)";"     818"
"2002";"Beek (L.)";"     815"
"2003";"Beek (L.)";"     813"
"2004";"Beek (L.)";"     815"
"2005";"Beek (L.)";"     811"
"2006";"Beek (L.)";"     806"
"2007";"Beek (L.)";"     796"
"2008";"Beek (L.)";"     795"
"2009";"Beek (L.)";"     791"
"2010";"Beek (L.)";"     790"
"2011";"Beek (L.)";"     787"
"2012";"Beek (L.)";"     783"
"2013";"Beek (L.)";"     778"
"2014";"Beek (L.)";"     774"
"2015";"Beek (L.)";"     771"
"2016";"Beek (L.)";"     764"
"2017";"Beek (L.)";"     758"
"2018";"Beek (L.)";"     756"
"2019";"Beek (L.)";"     757"
"2020";"Beek (L.)";"     754"
"2021";"Beek (L.)";"     755"
"2022";"Beek (L.)";"     751"
"2023";"Beek (L.)";"     766"
"2024";"Beek (L.)";"     770"
"2025";"Beek (L.)";""
"1995";"Beek en Donk";"     581"
"1996";"Beek en Donk";"     585"
"1997";"Beek en Donk";""
"1998";"Beek en Donk";""
"1999";"Beek en Donk";""
"2000";"Beek en Donk";""
"2001";"Beek en Donk";""
"2002";"Beek en Donk";""
"2003";"Beek en Donk";""
"2004";"Beek en Donk";""
"2005";"Beek en Donk";""
"2006";"Beek en Donk";""
"2007";"Beek en Donk";""
"2008";"Beek en Donk";""
"2009";"Beek en Donk";""
"2010";"Beek en Donk";""
"2011";"Beek en Donk";""
"2012";"Beek en Donk";""
"2013";"Beek en Donk";""
"2014";"Beek en Donk";""
"2015";"Beek en Donk";""
"2016";"Beek en Donk";""
"2017";"Beek en Donk";""
"2018";"Beek en Donk";""
"2019";"Beek en Donk";""
"2020";"Beek en Donk";""
"2021";"Beek en Donk";""
"2022";"Beek en Donk";""
"2023";"Beek en Donk";""
"2024";"Beek en Donk";""
"2025";"Beek en Donk";""
"1995";"Beekdaelen";""
"1996";"Beekdaelen";""
"1997";"Beekdaelen";""
"1998";"Beekdaelen";""
"1999";"Beekdaelen";""
"2000";"Beekdaelen";""
"2001";"Beekdaelen";""
"2002";"Beekdaelen";""
"2003";"Beekdaelen";""
"2004";"Beekdaelen";""
"2005";"Beekdaelen";""
"2006";"Beekdaelen";""
"2007";"Beekdaelen";""
"2008";"Beekdaelen";""
"2009";"Beekdaelen";""
"2010";"Beekdaelen";""
"2011";"Beekdaelen";""
"2012";"Beekdaelen";""
"2013";"Beekdaelen";""
"2014";"Beekdaelen";""
"2015";"Beekdaelen";""
"2016";"Beekdaelen";""
"2017";"Beekdaelen";""
"2018";"Beekdaelen";""
"2019";"Beekdaelen";"     456"
"2020";"Beekdaelen";"     459"
"2021";"Beekdaelen";"     461"
"2022";"Beekdaelen";"     459"
"2023";"Beekdaelen";"     459"
"2024";"Beekdaelen";"     458"
"2025";"Beekdaelen";""
"1995";"Beemster";"     114"
"1996";"Beemster";"     116"
"1997";"Beemster";"     118"
"1998";"Beemster";"     118"
"1999";"Beemster";"     119"
"2000";"Beemster";"     120"
"2001";"Beemster";"     120"
"2002";"Beemster";"     122"
"2003";"Beemster";"     121"
"2004";"Beemster";"     121"
"2005";"Beemster";"     121"
"2006";"Beemster";"     121"
"2007";"Beemster";"     120"
"2008";"Beemster";"     120"
"2009";"Beemster";"     121"
"2010";"Beemster";"     122"
"2011";"Beemster";"     121"
"2012";"Beemster";"     124"
"2013";"Beemster";"     124"
"2014";"Beemster";"     126"
"2015";"Beemster";"     126"
"2016";"Beemster";"     127"
"2017";"Beemster";"     130"
"2018";"Beemster";"     135"
"2019";"Beemster";"     138"
"2020";"Beemster";"     142"
"2021";"Beemster";"     143"
"2022";"Beemster";""
"2023";"Beemster";""
"2024";"Beemster";""
"2025";"Beemster";""
"1995";"Beesel";"     463"
"1996";"Beesel";"     464"
"1997";"Beesel";"     468"
"1998";"Beesel";"     465"
